"Month","Day","Supply"
"January","01",0
"January","02",0
"January","03",0
"January","04",0
"January","05",0
"January","06",0
"January","07",0
"January","08",0
"January","09",0
"January","10",0
"January","11",0
"January","12",0
"January","13",0
"January","14",0
"January","15",0
"January","16",0
"January","17",0
"January","18",0
"January","19",0
"January","20",0
"January","21",0
"January","22",0
"January","23",0
"January","24",0
"January","25",0
"January","26",0
"January","27",0
"January","28",0
"January","29",0
"January","30",0
"January","31",0
"February","01",0
"February","02",0
"February","03",0
"February","04",0
"February","05",0
"February","06",0
"February","07",0
"February","08",0
"February","09",0
"February","10",0
"February","11",0
"February","12",0
"February","13",0
"February","14",0
"February","15",0
"February","16",0
"February","17",0
"February","18",0
"February","19",0
"February","20",0
"February","21",0
"February","22",0
"February","23",0
"February","24",0
"February","25",0
"February","26",0
"February","27",0
"February","28",0
"March","01",0
"March","02",0
"March","03",0
"March","04",0
"March","05",0
"March","06",0
"March","07",0
"March","08",0
"March","09",0
"March","10",0
"March","11",0
"March","12",0
"March","13",0
"March","14",0
"March","15",0
"March","16",0
"March","17",0
"March","18",0
"March","19",0
"March","20",0
"March","21",0
"March","22",0
"March","23",0
"March","24",0
"March","25",0
"March","26",0
"March","27",0
"March","28",0
"March","29",0
"March","30",0
"March","31",0
"April","01",0
"April","02",0
"April","03",0
"April","04",0
"April","05",0
"April","06",0
"April","07",0
"April","08",0
"April","09",0
"April","10",0
"April","11",0
"April","12",0
"April","13",0
"April","14",0
"April","15",0
"April","16",0
"April","17",0
"April","18",0
"April","19",0
"April","20",0
"April","21",0
"April","22",0
"April","23",0
"April","24",0
"April","25",0
"April","26",0
"April","27",0
"April","28",0
"April","29",0
"April","30",0
"May","01",0
"May","02",0
"May","03",0
"May","04",0
"May","05",0
"May","06",0
"May","07",0
"May","08",0
"May","09",0
"May","10",0.535714285714286
"May","11",0.535714285714286
"May","12",0.535714285714286
"May","13",0.535714285714286
"May","14",0.535714285714286
"May","15",0.934265010351967
"May","16",0.934265010351967
"May","17",0.934265010351967
"May","18",0.934265010351967
"May","19",0.934265010351967
"May","20",0.934265010351967
"May","21",0.934265010351967
"May","22",0.934265010351967
"May","23",0.934265010351967
"May","24",0.934265010351967
"May","25",1.16318067300257
"May","26",1.16318067300257
"May","27",1.16318067300257
"May","28",1.94499885482075
"May","29",1.94499885482075
"May","30",2.48071314053504
"May","31",2.48071314053504
"June","01",2.87926386517272
"June","02",2.87926386517272
"June","03",2.87926386517272
"June","04",2.87926386517272
"June","05",3.44448125647707
"June","06",4.22629943829525
"June","07",4.22629943829525
"June","08",4.22629943829525
"June","09",4.22629943829525
"June","10",4.45521510094585
"June","11",4.45521510094585
"June","12",6.2204324922502
"June","13",6.2204324922502
"June","14",6.2204324922502
"June","15",6.2204324922502
"June","16",7.4204324922502
"June","17",7.4204324922502
"June","18",7.4204324922502
"June","19",7.4204324922502
"June","20",8.64021271203042
"June","21",8.10449842631613
"June","22",8.10449842631613
"June","23",8.10449842631613
"June","24",8.10449842631613
"June","25",8.68142150323921
"June","26",7.89960332142103
"June","27",7.89960332142103
"June","28",7.89960332142103
"June","29",6.13438593011668
"June","30",6.13438593011668
"July","01",5.90547026746608
"July","02",4.80222351421932
"July","03",4.80222351421932
"July","04",4.23700612291498
"July","05",4.23700612291498
"July","06",3.9155775514864
"July","07",3.9155775514864
"July","08",3.9155775514864
"July","09",2.7155775514864
"July","10",3.02326985917871
"July","11",2.48755557346443
"July","12",2.48755557346443
"July","13",2.48755557346443
"July","14",2.48755557346443
"July","15",2.91009078473203
"July","16",2.51154006009435
"July","17",2.51154006009435
"July","18",2.51154006009435
"July","19",2.51154006009435
"July","20",3.65456084229039
"July","21",3.38533007305962
"July","22",3.38533007305962
"July","23",3.38533007305962
"July","24",4.20584289357244
"July","25",5.95714522812772
"July","26",6.8308096736752
"July","27",16.5306653735309
"July","28",35.7950241461509
"July","29",36.5888385791406
"July","30",36.5888385791406
"July","31",36.5888385791406
"August","01",39.7791837198259
"August","02",39.7791837198259
"August","03",49.3335367741789
"August","04",63.114024579057
"August","05",64.740989012473
"August","06",64.740989012473
"August","07",64.897239012473
"August","08",64.897239012473
"August","09",65.0737096007083
"August","10",65.0737096007083
"August","11",69.9806574915272
"August","12",69.9806574915272
"August","13",69.9806574915272
"August","14",69.9806574915272
"August","15",70.0356574915272
"August","16",68.4081199427187
"August","17",68.4081199427187
"August","18",68.5845905309539
"August","19",68.5845905309539
"August","20",68.0316804780439
"August","21",67.2252288651407
"August","22",67.2252288651407
"August","23",67.2252288651407
"August","24",67.2252288651407
"August","25",67.2802288651407
"August","26",67.2802288651407
"August","27",66.4597160446278
"August","28",65.9542596954215
"August","29",65.9542596954215
"August","30",65.9542596954215
"August","31",64.6254925721338
"September","01",64.4217888684301
"September","02",63.6915613494702
"September","03",54.3409119988209
"September","04",39.6615477894484
"September","05",39.6615477894484
"September","06",38.3327806661608
"September","07",37.5389662331711
"September","08",37.5389662331711
"September","09",31.7474029577368
"September","10",31.7474029577368
"September","11",22.3967536070875
"September","12",22.3967536070875
"September","13",22.2405036070875
"September","14",22.2405036070875
"September","15",21.4466891740978
"September","16",21.4466891740978
"September","17",7.66620136921973
"September","18",6.84568854870691
"September","19",5.77034155597723
"September","20",5.77034155597723
"September","21",5.77034155597723
"September","22",5.77034155597723
"September","23",5.77034155597723
"September","24",5.77034155597723
"September","25",5.77034155597723
"September","26",5.71534155597723
"September","27",5.71534155597723
"September","28",5.71534155597723
"September","29",5.71534155597723
"September","30",0.231470588235294
"October","01",0.055
"October","02",0
"October","03",0
"October","04",0
"October","05",0
"October","06",0
"October","07",0
"October","08",0
"October","09",0
"October","10",0
"October","11",0
"October","12",0
"October","13",0
"October","14",0
"October","15",0
"October","16",0
"October","17",0
"October","18",0
"October","19",0
"October","20",0
"October","21",0
"October","22",0
"October","23",0
"October","24",0
"October","25",0
"October","26",0
"October","27",0
"October","28",0
"October","29",0
"October","30",0
"October","31",0
"November","01",0
"November","02",0
"November","03",0
"November","04",0
"November","05",0
"November","06",0
"November","07",0
"November","08",0
"November","09",0
"November","10",0
"November","11",0
"November","12",0
"November","13",0
"November","14",0
"November","15",0
"November","16",0
"November","17",0
"November","18",0
"November","19",0
"November","20",0
"November","21",0
"November","22",0
"November","23",0
"November","24",0
"November","25",0
"November","26",0
"November","27",0
"November","28",0
"November","29",0
"November","30",0
"December","01",0
"December","02",0
"December","03",0
"December","04",0
"December","05",0
"December","06",0
"December","07",0
"December","08",0
"December","09",0
"December","10",0
"December","11",0
"December","12",0
"December","13",0
"December","14",0
"December","15",0
"December","16",0
"December","17",0
"December","18",0
"December","19",0
"December","20",0
"December","21",0
"December","22",0
"December","23",0
"December","24",0
"December","25",0
"December","26",0
"December","27",0
"December","28",0
"December","29",0
"December","30",0
"December","31",0
